Raw,Time,Amplitude
b'7\r\n',7.35802,7
b'7\r\n',7.3581215,7
b'7\r\n',7.3582243,7
b'7\r\n',7.3583272,7
b'6\r\n',7.3608353,6
b'F9\r\n',7.3609831,249
b'F9\r\n',7.361121,249
b'F9\r\n',7.3612574,249
b'F9\r\n',7.3613914,249
b'D4\r\n',7.361531,212
b'9\r\n',7.3616317,9
b'6\r\n',7.3617696,6
b'6\r\n',7.3618705,6
b'5\r\n',7.3619713,5
b'5\r\n',7.3620712,5
b'5\r\n',7.3621713,5
b'4\r\n',7.3623151,4
b'4\r\n',7.3624497,4
b'4\r\n',7.3648442,4
b'4\r\n',7.3650479,4
b'4\r\n',7.3651518,4
b'F9\r\n',7.3652881,249
b'F8\r\n',7.3654231,248
b'F9\r\n',7.3655593,249
b'F9\r\n',7.365694,249
b'F9\r\n',7.365829,249
b'10\r\n',7.3659668,16
b'7\r\n',7.3660673,7
b'6\r\n',7.3661682,6
b'7\r\n',7.3662694,7
b'7\r\n',7.3663696,7
b'7\r\n',7.3664704,7
b'7\r\n',7.3689759,7
b'7\r\n',7.369179,7
b'7\r\n',7.3692838,7
b'7\r\n',7.3693914,7
b'7\r\n',7.3695242,7
b'F3\r\n',7.3696997,243
b'F9\r\n',7.3698351,249
b'F9\r\n',7.3700643,249
b'F9\r\n',7.3702561,249
b'F9\r\n',7.3703959,249
b'15\r\n',7.3705322,21
b'5\r\n',7.3706339,5
b'5\r\n',7.3707699,5
b'4\r\n',7.3708715,4
b'4\r\n',7.370988,4
b'4\r\n',7.3732622,4
b'4\r\n',7.3733783,4
b'4\r\n',7.3734827,4
b'5\r\n',7.3735865,5
b'5\r\n',7.3737256,5
b'5\r\n',7.3738282,5
b'1C\r\n',7.3739633,28
b'F9\r\n',7.3740987,249
b'F9\r\n',7.3742335,249
b'F9\r\n',7.3743723,249
b'F9\r\n',7.3745086,249
b'25\r\n',7.3748732,37
b'8\r\n',7.3750277,8
b'7\r\n',7.3751572,7
b'7\r\n',7.3773128,7
b'7\r\n',7.3775052,7
b'7\r\n',7.377627,7
b'7\r\n',7.3777805,7
b'7\r\n',7.3779023,7
b'7\r\n',7.378025,7
b'7\r\n',7.3781541,7
b'7\r\n',7.37827,7
b'6\r\n',7.3784511,6
b'F9\r\n',7.3786011,249
b'F9\r\n',7.3787926,249
b'F9\r\n',7.3789615,249
b'F9\r\n',7.3791316,249
b'E7\r\n',7.3793029,231
b'7\r\n',7.3814032,7
b'4\r\n',7.3815193,4
b'4\r\n',7.381623,4
b'5\r\n',7.3817604,5
b'4\r\n',7.3818625,4
b'5\r\n',7.3819641,5
b'5\r\n',7.3820648,5
b'5\r\n',7.3821651,5
b'6\r\n',7.3822661,6
b'6\r\n',7.3824182,6
b'6\r\n',7.3825299,6
b'F9\r\n',7.3826689,249
b'F9\r\n',7.382841,249
b'F9\r\n',7.3829754,249
b'F9\r\n',7.3831091,249
b'F9\r\n',7.3853744,249
b'11\r\n',7.3855171,17
b'7\r\n',7.3856188,7
b'7\r\n',7.3857564,7
b'7\r\n',7.3858586,7
b'7\r\n',7.3859618,7
b'7\r\n',7.3860657,7
b'7\r\n',7.3861684,7
b'6\r\n',7.3862721,6
b'6\r\n',7.3863758,6
b'6\r\n',7.3864802,6
b'5\r\n',7.3865826,5
b'D9\r\n',7.3867173,217
b'F9\r\n',7.3868866,249
b'F9\r\n',7.3895362,249
b'F9\r\n',7.3897074,249
b'F9\r\n',7.389861,249
b'18\r\n',7.3900007,24
b'6\r\n',7.3901352,6
b'5\r\n',7.3902381,5
b'5\r\n',7.3903446,5
b'5\r\n',7.3904475,5
b'6\r\n',7.3909536,6
b'6\r\n',7.3911025,6
b'6\r\n',7.3912315,6
b'6\r\n',7.391357,6
b'7\r\n',7.3914939,7
b'7\r\n',7.3916156,7
b'A\r\n',7.3917833,10
b'F9\r\n',7.3936111,249
b'F9\r\n',7.3938539,249
b'F9\r\n',7.3940164,249
b'F9\r\n',7.3941773,249
b'A5\r\n',7.3943416,165
b'9\r\n',7.394469,9
b'7\r\n',7.3945858,7
b'6\r\n',7.3947058,6
b'6\r\n',7.3948572,6
b'6\r\n',7.3949737,6
b'6\r\n',7.3951022,6
b'5\r\n',7.3952361,5
b'5\r\n',7.3953611,5
b'5\r\n',7.3954847,5
b'4\r\n',7.3975449,4
b'4\r\n',7.3977989,4
b'F9\r\n',7.3979568,249
b'F9\r\n',7.3981557,249
b'F9\r\n',7.3983229,249
b'F9\r\n',7.3984995,249
b'F9\r\n',7.3986869,249
b'C\r\n',7.3988617,12
b'6\r\n',7.3989839,6
b'6\r\n',7.3990874,6
b'6\r\n',7.3991907,6
b'6\r\n',7.3992922,6
b'6\r\n',7.3993934,6
b'7\r\n',7.3994947,7
b'7\r\n',7.399596,7
b'7\r\n',7.4018137,7
b'7\r\n',7.4019305,7
b'7\r\n',7.4020345,7
b'7\r\n',7.4021364,7
b'F8\r\n',7.4022713,248
b'F9\r\n',7.4024064,249
b'F9\r\n',7.4025417,249
b'F9\r\n',7.4026886,249
b'A7\r\n',7.4028724,167
b'8\r\n',7.4029743,8
b'6\r\n',7.4030747,6
b'5\r\n',7.4031771,5
b'5\r\n',7.4032806,5
b'5\r\n',7.403386,5
b'4\r\n',7.4058388,4
b'4\r\n',7.4060728,4
b'4\r\n',7.4061854,4
b'4\r\n',7.4062935,4
b'4\r\n',7.4064021,4
b'4\r\n',7.4065111,4
b'F9\r\n',7.4066569,249
b'F9\r\n',7.4068345,249
b'F8\r\n',7.4069693,248
b'F9\r\n',7.407103,249
b'F9\r\n',7.4072367,249
b'D\r\n',7.4073381,13
b'7\r\n',7.4074388,7
b'7\r\n',7.4075398,7
b'7\r\n',7.4076431,7
b'7\r\n',7.4100001,7
b'7\r\n',7.4101145,7
b'7\r\n',7.4102182,7
b'7\r\n',7.4103218,7
b'7\r\n',7.4104247,7
b'7\r\n',7.4105274,7
b'7\r\n',7.4106865,7
b'6\r\n',7.4108495,6
b'F9\r\n',7.4109848,249
b'F8\r\n',7.4112493,248
b'F9\r\n',7.4114078,249
b'F9\r\n',7.411546,249
b'A9\r\n',7.4116819,169
b'7\r\n',7.4117921,7
b'5\r\n',7.4143839,5
b'5\r\n',7.4145095,5
b'4\r\n',7.4146613,4
b'4\r\n',7.4148198,4
b'4\r\n',7.4149402,4
b'4\r\n',7.4150604,4
b'5\r\n',7.4151805,5
b'5\r\n',7.4153251,5
