Amplitude,Time
996,2021-09-14 14:27:48.182360
996,2021-09-14 14:27:48.186360
720,2021-09-14 14:27:48.194366
490,2021-09-14 14:27:48.198363
420,2021-09-14 14:27:48.203366
385,2021-09-14 14:27:48.211368
367,2021-09-14 14:27:48.215369
361,2021-09-14 14:27:48.219369
997,2021-09-14 14:27:48.223370
996,2021-09-14 14:27:48.231372
997,2021-09-14 14:27:48.235372
617,2021-09-14 14:27:48.239373
465,2021-09-14 14:27:48.244378
405,2021-09-14 14:27:48.252379
378,2021-09-14 14:27:48.256380
368,2021-09-14 14:27:48.260382
354,2021-09-14 14:27:48.268382
997,2021-09-14 14:27:48.272382
997,2021-09-14 14:27:48.276383
984,2021-09-14 14:27:48.280383
556,2021-09-14 14:27:48.288386
441,2021-09-14 14:27:48.293391
395,2021-09-14 14:27:48.297391
377,2021-09-14 14:27:48.301390
360,2021-09-14 14:27:48.311394
996,2021-09-14 14:27:48.313393
996,2021-09-14 14:27:48.317394
996,2021-09-14 14:27:48.325398
775,2021-09-14 14:27:48.329397
507,2021-09-14 14:27:48.334401
423,2021-09-14 14:27:48.338402
391,2021-09-14 14:27:48.346402
368,2021-09-14 14:27:48.350403
362,2021-09-14 14:27:48.354406
996,2021-09-14 14:27:48.358406
997,2021-09-14 14:27:48.366410
996,2021-09-14 14:27:48.370409
654,2021-09-14 14:27:48.375412
473,2021-09-14 14:27:48.379410
413,2021-09-14 14:27:48.387412
379,2021-09-14 14:27:48.391422
369,2021-09-14 14:27:48.395415
359,2021-09-14 14:27:48.403417
997,2021-09-14 14:27:48.408420
997,2021-09-14 14:27:48.412421
997,2021-09-14 14:27:48.416421
579,2021-09-14 14:27:48.424422
452,2021-09-14 14:27:48.428422
398,2021-09-14 14:27:48.432424
378,2021-09-14 14:27:48.436425
365,2021-09-14 14:27:48.444426
992,2021-09-14 14:27:48.449430
996,2021-09-14 14:27:48.453430
996,2021-09-14 14:27:48.461430
845,2021-09-14 14:27:48.465434
527,2021-09-14 14:27:48.469434
429,2021-09-14 14:27:48.473434
393,2021-09-14 14:27:48.481436
373,2021-09-14 14:27:48.485437
358,2021-09-14 14:27:48.490439
996,2021-09-14 14:27:48.493458
997,2021-09-14 14:27:48.501440
998,2021-09-14 14:27:48.506442
700,2021-09-14 14:27:48.510444
485,2021-09-14 14:27:48.518446
418,2021-09-14 14:27:48.522447
385,2021-09-14 14:27:48.526447
366,2021-09-14 14:27:48.531451
362,2021-09-14 14:27:48.538505
996,2021-09-14 14:27:48.543453
997,2021-09-14 14:27:48.547453
996,2021-09-14 14:27:48.551453
604,2021-09-14 14:27:48.559457
460,2021-09-14 14:27:48.563464
404,2021-09-14 14:27:48.567469
376,2021-09-14 14:27:48.576467
367,2021-09-14 14:27:48.580461
354,2021-09-14 14:27:48.584461
997,2021-09-14 14:27:48.588462
996,2021-09-14 14:27:48.596465
933,2021-09-14 14:27:48.600466
546,2021-09-14 14:27:48.604467
439,2021-09-14 14:27:48.608469
392,2021-09-14 14:27:48.616529
377,2021-09-14 14:27:48.620472
361,2021-09-14 14:27:48.624473
996,2021-09-14 14:27:48.629474
997,2021-09-14 14:27:48.637477
998,2021-09-14 14:27:48.641479
754,2021-09-14 14:27:48.645477
502,2021-09-14 14:27:48.653478
419,2021-09-14 14:27:48.658484
390,2021-09-14 14:27:48.661499
368,2021-09-14 14:27:48.666483
359,2021-09-14 14:27:48.674481
996,2021-09-14 14:27:48.677751
997,2021-09-14 14:27:48.682629
996,2021-09-14 14:27:48.687080
642,2021-09-14 14:27:48.694649
468,2021-09-14 14:27:48.699137
412,2021-09-14 14:27:48.703455
379,2021-09-14 14:27:48.710562
367,2021-09-14 14:27:48.714747
360,2021-09-14 14:27:48.719818
996,2021-09-14 14:27:48.723944
997,2021-09-14 14:27:48.731048
996,2021-09-14 14:27:48.735133
568,2021-09-14 14:27:48.740313
